,movie_id,movie_name,year,genre,overview,director,cast,movie_id2,Keywords
310,tt2229842,Table No.21,2013,"Adventure, Drama, Thriller",A couple is drawn into a game show with a whooping winning prize. However the game turns into more than a survival for them with no escape.,Aditya Datt,"Paresh Rawal, Rajeev Khandelwal, Tina Desai, Dhruv Ganesh",2229842,"anti villain, couple, vacation, ragging"
311,tt2429640,Murder 3,2013,"Drama, Mystery, Thriller","A hot-shot fashion and wildlife photographer Vikram gets into a relationship with Nisha. She moves in with him in his palatial house outside of the city. The old world house, made decades ...                See full summary »",Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Sara Loren, Rajesh Shringarpure",2429640,
312,tt10840884,Taish,2020,"Action, Thriller","A story of friendship and loss of innocence when two worlds clash amid a wedding when a secret exposes a betrayal, and innocent friends converge with dangerous criminals and intense violence.",Bejoy Nambiar,"Harshvardhan Rane, Jim Sarbh, Pulkit Samrat, Kriti Kharbanda",10840884,"criminal, friend, secret"
313,tt6108090,Secret Superstar,2017,"Drama, Music",A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,Advait Chandan,"Zaira Wasim, Meher Vij, Raj Arjun, Aamir Khan",6108090,"f rated, teenager, teenage girl, teenage boy, 15 year old, 15 year old girl, train, guitar, playing guitar, singing, husband wife relationship, husband wife conflict, classroom, teacher, laptop computer, watching a video, watching a video on a computer, reference to facebook, reference to youtube, video, youtube video, youtube channel, burqa, title appears in writing, secret, sitting on table, ice cream, newspaper, rooftop, husband slaps wife, slapped in the face, violence, reference to twitter, watching tv, lawyer, female lawyer, airport, airplane, telephone call, recording studio, song, grandmother, family secret, merry go round, soap bubble, selfie, ceremony, award ceremony, title spoken by character"
314,tt10598156,Dhaakad,2022,"Action, Thriller","Agent Agni, a highly trained and deadly field agent is entrusted with the mission to gather Intel and eliminate Rudraveer, an international human and arms trafficker who has been off the radar for ten years.",Razneesh Ghai,"Kangana Ranaut, Arjun Rampal, Divya Dutta, Sharib Hashmi",10598156,"gun, mission, agent"
315,tt0432047,Sarkar,2005,"Action, Crime, Drama","Subhash Nagre runs a parallel government in the city where he has a cult following. When his enemies plot to murder him, his son takes charge and stands up against them.",Ram Gopal Varma,"Amitabh Bachchan, Abhishek Bachchan, Kay Kay Menon, Supriya Pathak",0432047,"man wears eyeglasses, son, gangster crime, prison, murder, power, blood splatter, family relationships, false accusation, boyfriend girlfriend relationship, real life father and son playing father and son, mob, violence, vengeance, traitor, tea, squash, shot in the forehead, shot in the chest, secret plan, revolver, revenge, political assassination, necklace, narrow escape, movie studio, jealousy, humiliation, hitman, henchman, fratricide, false witness, slapped in the face, conspiracy, boat, blood, betrayal, attempted murder, assassination, aspiring actress, aspiring actor, arrest, organized crime, mumbai india, father son relationship, brother brother relationship, gangster, death, title spoken by character"
316,tt27470893,Chandu Champion,2024,"Biography, Drama, Sport",Based on the extraordinary real-life story of a sportsman and his spirit of never giving up.,Kabir Khan,"Shraddha Kapoor, Katrina Kaif, Kartik Aaryan, Bhuvan Arora",27470893,"life, year 1972, aquatic sport, career, athlete, aquatic, paralympics, soldier, 20th century, year 1968, year 1965, military, gold, 1960s, docudrama drama, based on real people, 1970s, swimming, medal, no opening credits, based on true story"
317,tt9851854,Major,2022,"Action, Biography, Drama","Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009.",Sashi Kiran Tikka,"Adivi Sesh, Prakash Raj, Revathi, Saiee Manjrekar",9851854,"terror attack, based on real people, based on real person, terror, year 2008, hotel, attack, soldier, military, escape, fight, gun, operation, mission, target, army, mumbai terror attack, love, parent, partner, couple, gun fight, violet, blood, violence, mumbai, islamic terrorist, terrorism, pakistani terrorist, global war on terror, husband wife relationship, 2000s, terrorist, one person army action, based on true story"
318,tt9054970,Doctor G,2022,"Comedy, Drama","Uday Gupta finds himself as the lone male resident in the Gynaecology department. His reluctance leads to chaos, confusion, comedy and eventually, great camaraderie with his fellow classmates.",Anubhuti Kashyap,"Ayushmann Khurrana, Rakul Preet Singh, Shefali Shah, Sheeba Chaddha",9054970,"gynaecology, doctor"
319,tt4977530,Viceroy's House,2017,"Biography, Drama, History","The final Viceroy of India, Louis Francis Albert Victor Nicholas Mountbatten, 1st Earl Mountbatten of Burma (Hugh Bonneville), is tasked with overseeing the transition of British India to independence, but meets with conflict as different sides clash in the face of monumental change.",Gurinder Chadha,"Hugh Bonneville, Gillian Anderson, Manish Dayal, Huma Qureshi",4977530,"india, partition, f rated, british empire, viceroy, pakistan, british raj, ethnic conflict, winston churchill character, independence, violence, punjabi, muhammad ali jinnah character, intermarriage, black and white sequence, year 1947, palace, mahatma gandhi character, lord mountbatten character, muslim, delhi india, servant, interfaith romance, hindu, jawaharlal nehru character, reference to asia, reference to palestine, independence movement, delhi, indian history, british history, two word title, punctuation in title, blind man, refugee, migration, indian flag, demonstration, protest, hindustan, pakistani flag, india pakistan relationship, reference to harry s. truman, destiny, speech, fireworks, sleep, celebration, reference to cholera, refugee camp"
