,movie_id,movie_name,year,genre,overview,director,cast
2555,tt31844525,Juna Furniture,2024.0,Drama,"A devoted father fights to bring justice for his wife's death, highlighting the plight of neglected elderly parents in a society consumed by materialism.",Mahesh Manjrekar,"Makarand Anaspure, Onkar Bhojane, Rajesh Bhosle, Shrirang Deshmukh, Anusha Dhandekar"
2556,tt31100872,Dange,2024.0,"Action, Drama","Journey that delves deep into the complexities of friends. Set against the backdrop of a vibrant college festival, the movie explores the intricate dynamics between two friends whose paths diverge and ignite a fierce competition.",Bejoy Nambiar,"Harshvardhan Rane, Ehan Bhat, T.J. Bhanu, Nikita Dutta, Taniya Kalrra"
2557,tt15509142,Krishnamma,2024.0,"Drama, Action","Three orphans form an unbreakable bond, growing up together on the Krishna River's banks in Vijayawada, India, and become each other's family.",V.V. Gopala Krishna,"Krishna Burugula, Nanda Gopal, Haribabu, Archana Iyer, Satyadev Kancharana"
2558,tt30488824,Bairi,2024.0,Comedy,"A newly-widowed mother struggles to connect with her son as he copes with his father's death by immersing himself in the intense hobby of racing pigeons, threatening their relationship.",John Glady,"Ramesh Arumugam, Meghana Ellen, John Glady, Francis Kiruba, Vinu Lawrence"
2559,tt32832440,Family Drama,2024.0,unknown,"Dysfunctional family torn apart by selfishness and misguided schemes, each member pursuing their own agenda with disastrous consequences.",Akarsh,"Aashith, Abhay, Abhishek V, Ananya Amar, Chandrajith Belliappa"
2560,tt29491755,Love Reddy,2024.0,unknown,Unknown,Smaran Reddy,"Pallavi Parva, Anjan Ramachendra, Vani Channanraryaptana, Jyothi Madan, NT Ramaswami"
2561,tt28181729,Sundaram Master,2024.0,"Comedy, Drama",An English teacher finds a remote Indian village where residents already speak English well.,Kalyan Santhosh,"Chaitu Babu, Bhadram, Brahmanandam, Harsha Chemudu, Balakrishna Neelakantapuram"
2562,tt30486891,Delivery Boy,2024.0,"Comedy, Drama","Small-time real estate agents Bhau and Chochya encounter Dr. Amruta Deshmukh, who aims to establish a surrogacy hospital. Their journey to make her vision a reality unfolds.",Mohsin Khan,"Prathamesh Parab, Prithvik Pratap, Ankita Landepatil, Sudhakar Birajdar, Suvarna Desai"
2563,tt23023596,Malaikottai Vaaliban,2024.0,"Action, Drama, Fantasy, Thriller, Western","Journey of Malaikottai Vaaliban, an undisputed warrior, transcends time and geographies, triumphing over every opponent he encounters.",Lijo Jose Pellissery,"Mohanlal, Sonalee Kulkarni, Hareesh Peradi, Manoj Moses, Katha Nandi"
2564,tt33266114,Chanchal Haseena,2024.0,Romance,"A College Queen Chanchal, in the past, now a young housewife trapped in monotony in the present. She embarks on a journey to get fit with the help of her gym trainer Sahil.",Shoib Nikash Shah,"Jinal Joshi, Shanaya Khanna, Arfan Nazir"
2565,tt32832418,Ek Don Teen Chaar,2024.0,unknown,"A newlywed couple's blissful romance hits a comedic high when the doctor reveals they're having quadruplets. Watch their wild journey as they navigate love, chaos, and the joys of parenthood in this charming and hilarious romantic comedy.",Varun Narvekar,"Satish Alekar, Nipun Dharmadhikari, Hrishikesh Joshi, Shaila Kanekar, Mrinal Kulkarni"
