web-scraper-order,web-scraper-start-url,Movie_Name,Year,Duration,Rating,Overview,link,link-href
"1728642008-41","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","41. A.R.M","2024","2h 30m","7.8","Set in the Northern Kerala in 1900, 1950 and 1990, three generations of heroes, Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the land.","41. A.R.M","https://www.imdb.com/title/tt11531182/?ref_=sr_t_41"
"1728642008-42","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","42. Girls Will Be Girls","2024","1h 58m","7.3","At a strict boarding school in the Himalayas, 16-year-old Mira discovers desire and romance. However, her sexual awakening is cut short by her protective mother, who never got to experience the same liberating process of maturation.","42. Girls Will Be Girls","https://www.imdb.com/title/tt18277182/?ref_=sr_t_42"
"1728642008-43","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","43. Megamind vs. The Doom Syndicate","2024","1h 23m","2.4","Megamind's former villain team, The Doom Syndicate, has returned. Newly crowned hero Megamind's must now keep up evil appearances until he can assemble his friends to stop his former evil teammates from launching Metro City to the Moon.","43. Megamind vs. The Doom Syndicate","https://www.imdb.com/title/tt31122323/?ref_=sr_t_43"
"1728642008-44","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","44. Blink","2024","2h 16m","7.4","Apoorva hides his failed MA from his mother in Bengaluru. Working odd jobs and relying on Swapna, his ability to control blinking becomes a curse when an old man says his father lives.","44. Blink","https://www.imdb.com/title/tt19874970/?ref_=sr_t_44"
"1728642008-45","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","45. Manjummel Boys","2024","2h 15m","8.2","A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back.","45. Manjummel Boys","https://www.imdb.com/title/tt26458038/?ref_=sr_t_45"
"1728642008-46","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","46. The Adamant Girl","2024","1h 40m","6.6","Meena, who loves a man from a lower caste but her family thinks she is possessed and cast the spell out of her.","46. The Adamant Girl","https://www.imdb.com/title/tt27080561/?ref_=sr_t_46"
"1728642008-47","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","47. Vaazhai","2024","2h 14m","8.5","A twelve-year-old boy, Sivanandhan, his mother, sister, and friend navigate life's challenges, where a plantain tree, Vaazhai, becomes a central presence.","47. Vaazhai","https://www.imdb.com/title/tt23782140/?ref_=sr_t_47"
"1728642008-48","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","48. Kalinga","2024","1h 56m","9.1","A protagonist encounters terrifying events, uncovering a sinister mystery lurking beneath the surface.","48. Kalinga","https://www.imdb.com/title/tt32880190/?ref_=sr_t_48"
"1728642008-49","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","49. Jigra","2024","2h 33m","7.9","It is a heart wrenching tale of a sister taking on the world to avenge her brother. Their odyssey of reunification tests their bond, their morals, and their inner strengths. Who wouldn't set the world on fire to protect what's theirs?","49. Jigra","https://www.imdb.com/title/tt26733317/?ref_=sr_t_49"
"1728642008-50","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","50. The Signature","2024","1h 50m","7.0","After 35 years of marriage, Madhu falls critically ill, leaving Arvind torn between hope and acceptance as she lies on life support.","50. The Signature","https://www.imdb.com/title/tt28435822/?ref_=sr_t_50"
"1728642008-51","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","51. Savi","2024","2h 6m","6.6","Savi a simple housewife attempts a daring jailbreak to get her husband out of one of England's high security prisons With 400 inmates, 75 armed guards, 60 surveillance cameras.","51. Savi","https://www.imdb.com/title/tt32308617/?ref_=sr_t_51"
"1728642008-52","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","52. Bhool Bhulaiyaa 3","2024","","","","52. Bhool Bhulaiyaa 3","https://www.imdb.com/title/tt26932223/?ref_=sr_t_52"
